order_number,user_id,email,street_address,city,state,num_items,total_price,timestamp
754,roy50,margaretwalker@example.com,8222 Jared Plains Suite 489,Millerfurt,Delaware,4,162,2022-07-31T13:53:42.176704
371,handerson,james63@example.org,39972 Isabella Haven Suite 670,Farrellport,Oklahoma,3,42,2022-08-03T17:54:12.176704
376,william55,sotopatricia@example.net,4418 Raymond Club,West Andreafort,Illinois,8,198,2022-08-05T18:54:45.176704
431,uking,cponce@example.com,369 Angela Green Suite 649,Whitemouth,Tennessee,6,90,2022-08-06T20:55:01.176704
713,tiffany94,kingelizabeth@example.net,3030 Kerr Streets Apt. 695,Hamptonhaven,Indiana,5,62,2022-08-09T22:55:50.176704
450,cmcconnell,brewerkaren@example.org,1666 Tiffany Brook Apt. 936,Hallport,Alaska,4,122,2022-08-12T07:55:53.176704
303,lisa62,oosborne@example.net,556 Scott Groves Suite 302,South Pamela,New Hampshire,8,10,2022-08-15T10:56:39.176704
994,shafferamanda,elizabeth33@example.com,022 Carlos Ville,Myersland,Alabama,7,170,2022-08-16T14:57:13.176704
359,wallaceerica,jasonjames@example.com,74133 Carter Brook Suite 504,South Christine,Connecticut,1,146,2022-08-20T00:57:35.176704
706,brandon47,tgreen@example.org,453 Wyatt Islands Apt. 447,West Jamiehaven,Utah,5,150,2022-08-22T04:58:08.176704
289,ylewis,chelsea09@example.com,72496 Harris Hill Suite 605,Kellychester,West Virginia,7,18,2022-08-24T08:58:30.176704
116,schmidtjennifer,josephanderson@example.net,562 Harris Plains,Annaborough,Maryland,6,18,2022-08-25T16:59:03.176704
227,fnichols,melissasuarez@example.org,42057 Montes Falls Suite 618,Vanessaside,Indiana,8,158,2022-08-26T19:59:09.176704
833,quinndanielle,danielsalazar@example.org,0302 Lopez Walks,New Nancy,Arizona,9,74,2022-08-29T00:59:58.176704
476,christineestrada,schultzjoanne@example.org,433 Dana Branch,East Christopher,Georgia,4,138,2022-08-31T08:01:03.176704
984,andrewsdonald,parkerdawn@example.com,0210 Michael Fork Apt. 693,West Michael,New Jersey,3,74,2022-09-01T14:01:21.176704
977,heatherparrish,douglasteresa@example.net,8396 Elizabeth Crest,Justinburgh,Nebraska,6,162,2022-09-03T16:01:53.176704
560,omeza,aimee93@example.com,87258 Julia Groves,Melvintown,Wyoming,7,26,2022-09-04T17:02:46.176704
91,grich,sarahjohns@example.net,1257 Joshua Corner,West Michael,Maine,5,182,2022-09-05T21:03:26.176704
457,tpatterson,jbrennan@example.com,23459 Mata Knoll,Gwendolynville,New York,2,98,2022-09-08T00:04:07.176704
810,kayla91,christina45@example.com,823 Hoffman Glen,North Jerry,Hawaii,9,42,2022-09-11T04:04:37.176704
591,loristephenson,mjones@example.com,4311 Jones Port,New Haley,West Virginia,4,18,2022-09-13T06:05:27.176704
788,cindywalker,emilysullivan@example.org,43552 Brown Station Apt. 903,New Vincenttown,Virginia,5,50,2022-09-15T11:06:10.176704
684,williswilliam,christopher92@example.net,7044 William Knolls Suite 494,North Edward,Arkansas,7,14,2022-09-18T20:07:11.176704
812,joshua58,connieandrews@example.org,4141 Damon Via Suite 929,East Jonathan,Ohio,2,86,2022-09-21T22:07:35.176704
770,uglover,martin24@example.org,1627 Diaz Creek Suite 466,Joyburgh,Virginia,6,62,2022-09-24T04:08:29.176704
39,danielmoore,jessica04@example.org,709 Michael Lodge Suite 258,North Walter,Connecticut,9,110,2022-09-27T08:08:34.176704
408,qpeck,michaelbrown@example.com,674 Young Neck,Doylemouth,Maine,5,82,2022-09-28T12:09:35.176704
988,michaelmoore,evanskathleen@example.org,84200 Jennings Drives Apt. 284,Marychester,Vermont,5,62,2022-09-29T20:10:18.176704
382,jsilva,megancordova@example.net,8629 Donald Ridges,West Jeffrey,Oregon,1,162,2022-10-03T04:11:13.176704
